AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
336811,88676,128998
336812,88676,128999
336813,88676,129000
336814,88676,129001
336815,88676,129002
336816,88676,129003
336817,88677,129004
336818,88677,129005
336819,88677,129006
336820,88677,129007
336821,88677,129008
336822,88677,129009
336823,88677,129010
336824,88677,129011
336825,88677,129012
336826,88677,129013
336827,88677,129014
336828,88677,129015
336829,88677,129016
336830,88677,129017
336831,88678,128865
336832,88678,128902
336833,88678,129018
336834,88678,129019
336835,88678,129020
336836,88678,129021
336837,88678,129022
336838,88678,129023
336839,88679,128915
336840,88679,128901
336841,88679,128903
336842,88679,129024
336843,88679,128915
336844,88679,129025
336845,88679,129026
336846,88679,129027
336847,88679,128992
336848,88679,129028
336849,88680,128865
336850,88680,129029
336851,88680,129030
336852,88680,129031
336853,88681,128919
336854,88681,128945
336855,88681,129032
336856,88681,129033
336857,88681,129034
336858,88681,129035
336859,88681,129036
336860,88681,129037
336861,88681,129038
336862,88681,129039
336863,88681,129040
336864,88681,129041
336865,88681,129042
336866,88681,129043
336867,88682,129044
336868,88682,129045
336869,88682,129046
336870,88682,129047
336871,88682,129048
336872,88683,129049
336873,88683,129050
336874,88683,128992
336875,88684,128865
336876,88684,129051
336877,88684,128903
336878,88684,129052
336879,88684,129053
336880,88684,129054
336881,88684,129055
336882,88684,128995
336883,88685,128865
336884,88685,128901
336885,88685,128915
336886,88685,128903
336887,88685,129056
336888,88685,129057
336889,88685,129058
336890,88685,129059
336891,88686,128901
336892,88686,128903
336893,88686,128919
336894,88686,129060
336895,88686,129061
336896,88686,129062
336897,88687,128901
336898,88687,128908
336899,88687,128944
336900,88687,129063
336901,88687,129064
336902,88687,129065
336903,88687,129066
336904,88687,129067
336905,88687,129068
336906,88688,128865
336907,88688,129069
336908,88688,129070
336909,88689,128865
336910,88689,128915
336911,88689,128902
336912,88689,128903
336913,88689,129071
336914,88689,129072
336915,88689,129073
336916,88689,129074
336917,88689,129075
336918,88689,129076
336919,88689,129077
336920,88690,128944
336921,88690,128902
336922,88690,129078
336923,88690,129079
336924,88690,129080
336925,88690,129081
336926,88690,129082
336927,88690,129083
336928,88690,129084
336929,88691,128901
336930,88691,128919
336931,88691,128945
336932,88691,128885
336933,88691,129085
336934,88691,129086
336935,88691,129087
336936,88691,128953
336937,88691,129088
336938,88691,129089
336939,88691,129090
336940,88691,129091
336941,88692,128903
336942,88692,128945
336943,88692,129092
336944,88692,129093
336945,88692,129094
336946,88692,129095
336947,88692,129096
336948,88693,128865
336949,88693,128919
336950,88693,129097
336951,88693,129098
336952,88693,129099
336953,88693,129100
336954,88693,129101
336955,88694,128865
336956,88694,128944
336957,88694,128903
336958,88694,129096
336959,88694,129102
336960,88694,129103
336961,88694,129104
336962,88694,129105
336963,88694,129106
336964,88694,129107
336965,88694,129108
336966,88694,129109
336967,88694,129110
336968,88694,129111
336969,88694,129112
336970,88694,129113
336971,88694,129114
336972,88694,129023
336973,88695,128865
336974,88695,128901
336975,88695,128944
336976,88695,129115
336977,88695,129116
336978,88695,129117
336979,88695,129118
336980,88695,129119
336981,88695,129120
336982,88696,128865
336983,88696,129121
336984,88696,129122
336985,88696,129123
336986,88696,129124
336987,88696,129125
336988,88697,128903
336989,88697,128901
336990,88697,128865
336991,88697,129126
336992,88697,129127
336993,88697,129128
336994,88697,129129
336995,88697,129130
336996,88698,128865
336997,88698,128903
336998,88698,128885
336999,88698,129131
337000,88698,129132
337001,88698,128986
337002,88698,129133
337003,88698,129134
337004,88698,129135
337005,88699,128901
337006,88699,128915
337007,88699,128919
337008,88699,129131
337009,88699,129136
337010,88699,129137
337011,88699,129138
337012,88699,129139
337013,88700,128865
337014,88700,128915
337015,88700,128902
337016,88700,128903
337017,88700,129140
337018,88700,129141
337019,88700,129142
337020,88700,129143
337021,88700,129144
337022,88700,129145
337023,88701,128901
337024,88701,129051
337025,88701,129146
337026,88701,129147
337027,88701,129148
337028,88702,128865
337029,88702,128903
337030,88702,129149
337031,88702,129150
337032,88702,129096
337033,88702,129151
337034,88702,129152
337035,88702,129153
337036,88702,129154
337037,88702,129155
337038,88702,129156
337039,88703,128865
337040,88703,128901
337041,88703,128915
337042,88703,128944
337043,88703,128903
